cell_id,n_years,n_registros,n_months,n_hot_months,S_mean,S_max,frac_hot,hotspot_persistente,lon,lat
1530000425,2,6,3,3,2.2722069465496557,3.6377601641838853,0.5,1,72.96565895260147,19.156573778855915
1529000422,2,6,3,2,2.6230388452367377,4.795493688297705,0.3333333333333333,1,72.9207431884075,19.021826485824562
1528000422,2,6,3,2,2.5155540252281035,3.9899223677464457,0.3333333333333333,1,72.87582742419568,19.021826485826022
1529000423,2,6,3,1,1.993669347773819,3.2762851206755084,0.16666666666666666,0,72.92074318840542,19.066742250183097
1529000424,2,6,3,1,1.4273177751152613,2.9510313462501303,0.16666666666666666,0,72.92074318840197,19.111658014521947
1528000424,2,6,3,1,1.4202073991677853,2.83155469483188,0.16666666666666666,0,72.87582742419923,19.111658014518344
1528000423,2,6,3,0,1.2442272777480192,2.217264344368284,0.0,0,72.87582742419391,19.066742250185047
1528000426,2,6,3,0,1.2032490068384236,2.195998715882987,0.0,0,72.87582742419228,19.201489543194505
1528000427,2,6,3,0,1.499212530044806,2.0276380389404878,0.0,0,72.87582742419573,19.24640530752221
1529000425,2,6,3,0,1.2546196055860948,1.9428190815601516,0.0,0,72.92074318840268,19.15657377885583
1526000427,2,6,3,0,1.0193357501972289,1.793226421963983,0.0,0,72.78599589578835,19.24640530752286
1527000426,2,6,3,0,0.8408575236837891,1.7563960507628964,0.0,0,72.83091165999276,19.201489543194544
1527000425,2,6,3,0,1.1750432427002468,1.7502258569801175,0.0,0,72.8309116599901,19.156573778862587
1526000426,2,6,3,0,0.856274733188605,1.4931374184985953,0.0,0,72.78599589578512,19.20148954319525
1526000425,2,6,3,0,0.7401862983652213,1.3429301369257851,0.0,0,72.78599589578403,19.15657377885852
1529000426,2,6,3,0,0.8891432389812663,1.257408128769993,0.0,0,72.92074318840429,19.201489543197486
1528000425,2,6,3,0,0.8762184376726593,1.0465293917577736,0.0,0,72.87582742419654,19.156573778861187
