cell_id,year,month,Z_CH4,Z_CO,Z_NO2,Z_O3,S_multigas,S_multigas_mcd,S_norm,flag_hot
1526000425,2023,5,-0.9935675533989804,-0.887303837887226,-1.5738366480634671,-1.4895955009109343,2.304724740864343,2.304724740864343,,0
1526000425,2023,6,-1.2378743897168143,-1.77807931301281,-1.0420765734957156,0.6542493180425194,1.9311834999509487,1.9311834999509487,,0
1526000425,2023,7,,-0.5916214722047537,0.02013047690790836,2.1853307944958247,2.4017184211725895,2.4017184211725895,,0
1526000425,2024,5,-0.4898194772134288,-0.3061661912770016,-0.9021055645561488,-0.5127637250319652,1.0973561997203554,1.0973561997203554,,0
1526000425,2024,6,,0.40887879608566996,-0.22079123173146406,0.9872791975226629,0.9953222615077554,0.9953222615077554,,0
1526000425,2024,7,,-0.6698661967734486,-0.30499175945179907,-0.08466405347675617,0.6874254595142628,0.6874254595142628,,0
1526000426,2023,5,-1.213601735856918,-1.4725111025016009,-1.8342209061360375,-1.4895955009109343,2.59253105145178,2.59253105145178,,0
1526000426,2023,6,-1.436034292842949,-1.0846206036229398,-0.8799102300811078,0.6542493180425194,1.4330231780196994,1.4330231780196994,,0
1526000426,2023,7,,0.38444894486179104,-0.6017421970421569,2.1853307944958247,2.317536809707862,2.317536809707862,,0
1526000426,2024,5,-0.5900472330680167,-0.8407959857790693,-1.7511433390176794,-0.5127637250319652,1.9262596906169833,1.9262596906169833,,0
1526000426,2024,6,,-1.2795980057537673,-0.6393935946813499,0.9872791975226629,1.6676161410638162,1.6676161410638162,,0
1526000426,2024,7,,0.04052325561558981,0.2770825279930445,-0.08466405347675617,0.38754980505313275,0.38754980505313275,,0
1526000427,2023,5,-1.3950618917055642,-1.3388885584876957,-1.9764793013869657,-1.4895955009109343,2.6627491011934867,2.6627491011934867,,0
1526000427,2023,6,-1.0324147911730726,-1.219427256158863,-1.0361262977720354,0.6542493180425194,1.5916242706475165,1.5916242706475165,,0
1526000427,2023,7,,-0.09366909455757678,-1.1108367773907437,2.1853307944958247,2.532118146065648,2.532118146065648,,0
1526000427,2024,5,-1.0152528885795349,0.8734692762095699,-1.597634531383725,-0.5127637250319652,2.0271081078970674,2.0271081078970674,,0
1526000427,2024,6,,1.3357237714049863,-0.673372795817271,0.9872791975226629,1.5739356205907011,1.5739356205907011,,0
1526000427,2024,7,,2.2952358284204153,0.4866812801565755,-0.08466405347675617,1.8394744070513225,1.8394744070513225,,0
1527000425,2023,5,-0.3814947889425239,-0.6442494422669226,-0.8342260604337391,-1.4895955009109343,1.858869216189949,1.858869216189949,,0
1527000425,2023,6,1.8216899999354252,1.1098984537758658,-0.6379787788219824,0.6542493180425194,1.2527880844740495,1.2527880844740495,,0
1527000425,2023,7,,-1.3743608682134274,0.07567311812157847,2.1853307944958247,2.731978473327841,2.731978473327841,,0
1527000425,2024,5,-0.08279511241632935,0.026744830342808484,-0.7123068708196202,-0.5127637250319652,0.9462989973038007,0.9462989973038007,,0
1527000425,2024,6,,-1.2038267593708578,0.012299454932343778,0.9872791975226629,1.5890991733353754,1.5890991733353754,,0
1527000425,2024,7,,-0.6651661926018828,-0.28926076414509094,-0.08466405347675617,0.6802472155693559,0.6802472155693559,,0
1527000426,2023,5,0.6374972739169829,-1.2107475422168603,-1.3053809462690198,-1.4895955009109343,2.1993010675843996,2.1993010675843996,,0
1527000426,2023,6,0.6607421452692425,-0.5370009159445995,-0.6458905690218184,0.6542493180425194,1.0342901294381526,1.0342901294381526,,0
1527000426,2023,7,,0.35564076866012867,-0.4395726330385001,2.1853307944958247,2.2747685366862584,2.2747685366862584,,0
1527000426,2024,5,0.6292842940164854,1.5352690003306002,-1.2456057033588266,-0.5127637250319652,2.075196854577279,2.075196854577279,,0
1527000426,2024,6,,1.874402724859921,-0.07568199812866293,0.9872791975226629,1.6696963341131514,1.6696963341131514,,0
1527000426,2024,7,,1.4911361002822783,0.6956306875091091,-0.08466405347675617,1.2854241301923186,1.2854241301923186,,0
1528000422,2023,5,1.6806779392191697,0.26187040575833365,0.18140804121613904,-0.9212441075887234,1.1036699570851618,1.1036699570851618,,0
1528000422,2023,6,-0.2357320798677034,0.40783600823821287,0.4208938535697541,0.9734745548580778,1.0424438417457271,1.0424438417457271,,0
1528000422,2023,7,,-1.3680697043489667,-0.6756087231359194,-0.9758366031807265,1.6273876016190283,1.6273876016190283,,0
1528000422,2024,5,1.0962967686989817,3.331348728618614,0.36516422804866816,1.6965832265624416,2.9781954548416456,2.9781954548416456,,0
1528000422,2024,6,,2.728515309677672,0.6922201314798895,0.3947053706250323,2.1671902568671584,2.1671902568671584,,0
1528000422,2024,7,,2.853501856091329,0.4554474273560503,-0.7294602395746784,2.525699162884606,2.525699162884606,,0
1528000423,2023,5,0.2105040184683315,-0.7284069829269383,0.059942189543317974,-1.8679970802562476,2.1180405935053446,2.1180405935053446,,0
1528000423,2023,6,0.0,-0.5495433275816437,0.07018722422335387,0.8347917308229106,1.0661493142558713,1.0661493142558713,,0
1528000423,2023,7,,-0.9460156945487795,-0.43172198039582493,-0.694732200910671,1.1642188385607826,1.1642188385607826,,0
1528000423,2024,5,-0.6744907594765952,-0.03535106966274257,0.06462792221158532,-0.2897558614959025,0.4205999032097365,0.4205999032097365,,0
1528000423,2024,6,,-0.09682094717819423,1.2780636528520637,0.29246524816365355,1.4661850092611342,1.4661850092611342,,0
1528000423,2024,7,,0.30961863955783425,-0.27526757943463204,-0.4771024805729398,0.6936800930696648,0.6936800930696648,,0
