cell_id,lon,lat,year,month,gas,value,units,qa_frac,collection_id,u10,v10,BLH,T2m_K,precip,wind_speed,wind_dir_deg,aoi_name,T2m_C,precip_mm,wind_dir_sin,wind_dir_cos
1526000425,72.78599589578403,19.15657377885852,2023,5,NO2,2.2726892026163576e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.8496334552764893,-0.47459128499031067,607.4465942382812,302.76033210754395,0.09598916645595779,2.8888834724197126,170.54447848274768,AOI_GAUL,29.610332107543968,95.98916645595779,0.1642819066678359,-0.9864134301303792
1526000426,72.78599589578512,19.20148954319525,2023,5,NO2,2.034532227924138e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.8496334552764893,-0.47459128499031067,607.4465942382812,302.76033210754395,0.09598916645595779,2.8888834724197126,170.54447848274768,AOI_GAUL,29.610332107543968,95.98916645595779,0.1642819066678359,-0.9864134301303792
1526000427,72.78599589578835,19.24640530752286,2023,5,NO2,1.904417491771046e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.8496334552764893,-0.47459128499031067,607.4465942382812,302.76033210754395,0.09598916645595779,2.8888834724197126,170.54447848274768,AOI_GAUL,29.610332107543968,95.98916645595779,0.1642819066678359,-0.9864134301303792
1527000425,72.8309116599901,19.156573778862587,2023,5,NO2,2.9491641220453917e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.8496334552764893,-0.47459128499031067,607.4465942382812,302.76033210754395,0.09598916645595779,2.8888834724197126,170.54447848274768,AOI_GAUL,29.610332107543968,95.98916645595779,0.1642819066678359,-0.9864134301303792
1527000426,72.83091165999276,19.201489543194544,2023,5,NO2,2.5182286152194934e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.8496334552764893,-0.47459128499031067,607.4465942382812,302.76033210754395,0.09598916645595779,2.8888834724197126,170.54447848274768,AOI_GAUL,29.610332107543968,95.98916645595779,0.1642819066678359,-0.9864134301303792
1528000422,72.87582742419568,19.021826485826022,2023,5,NO2,4.227474286287266e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.3004300594329834,-0.3316314220428467,616.1978759765625,302.66570267626037,0.0868259162406062,2.3242112336078664,171.7967210140532,AOI_GAUL,29.51570267626039,86.8259162406062,0.14268557747569913,-0.9897680667613127
1528000423,72.87582742419391,19.066742250185047,2023,5,NO2,4.105618045131144e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.3004300594329834,-0.3316314220428467,616.1978759765625,302.8969169739754,0.08919061876336087,2.3242112336078664,171.7967210140532,AOI_GAUL,29.74691697397543,89.19061876336087,0.14268557747569913,-0.9897680667613127
1528000424,72.87582742419923,19.111658014518344,2023,5,NO2,4.052447014330117e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.3004300594329834,-0.3316314220428467,616.1978759765625,302.8969169739754,0.08919061876336087,2.3242112336078664,171.7967210140532,AOI_GAUL,29.74691697397543,89.19061876336087,0.14268557747569913,-0.9897680667613127
1528000425,72.87582742419654,19.156573778861187,2023,5,NO2,3.8909567297151024e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,1.9803982973098755,-0.07115840166807175,678.8175659179688,302.93301828445925,0.09495040557781209,1.9816762939783603,177.9421700830637,AOI_GAUL,29.783018284459274,94.95040557781209,0.03590818635934517,-0.9993550931237517
1528000426,72.87582742419228,19.201489543194505,2023,5,NO2,2.8425661140224656e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,1.9803982973098755,-0.07115840166807175,678.8175659179688,302.93301828445925,0.09495040557781209,1.9816762939783603,177.9421700830637,AOI_GAUL,29.783018284459274,94.95040557781209,0.03590818635934517,-0.9993550931237517
1528000427,72.87582742419573,19.24640530752221,2023,5,NO2,2.4048581390735933e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,1.9803982973098755,-0.07115840166807175,678.8175659179688,302.93301828445925,0.09495040557781209,1.9816762939783603,177.9421700830637,AOI_GAUL,29.783018284459274,94.95040557781209,0.03590818635934517,-0.9993550931237517
1529000422,72.9207431884075,19.021826485824562,2023,5,NO2,7.446960810663958e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.3004300594329834,-0.3316314220428467,616.1978759765625,302.66570267626037,0.0868259162406062,2.3242112336078664,171.7967210140532,AOI_GAUL,29.51570267626039,86.8259162406062,0.14268557747569913,-0.9897680667613127
1529000423,72.92074318840542,19.066742250183097,2023,5,NO2,6.17623720391609e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.3004300594329834,-0.3316314220428467,616.1978759765625,302.8969169739754,0.08919061876336087,2.3242112336078664,171.7967210140532,AOI_GAUL,29.74691697397543,89.19061876336087,0.14268557747569913,-0.9897680667613127
1529000424,72.92074318840197,19.111658014521947,2023,5,NO2,5.2558935711739625e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,2.3004300594329834,-0.3316314220428467,616.1978759765625,302.8969169739754,0.08919061876336087,2.3242112336078664,171.7967210140532,AOI_GAUL,29.74691697397543,89.19061876336087,0.14268557747569913,-0.9897680667613127
1529000425,72.92074318840268,19.15657377885583,2023,5,NO2,4.7839225761065306e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,1.9803982973098755,-0.07115840166807175,678.8175659179688,302.93301828445925,0.09495040557781209,1.9816762939783603,177.9421700830637,AOI_GAUL,29.783018284459274,94.95040557781209,0.03590818635934517,-0.9993550931237517
1529000426,72.92074318840429,19.201489543197486,2023,5,NO2,3.902177667370748e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,1.9803982973098755,-0.07115840166807175,678.8175659179688,302.93301828445925,0.09495040557781209,1.9816762939783603,177.9421700830637,AOI_GAUL,29.783018284459274,94.95040557781209,0.03590818635934517,-0.9993550931237517
1530000425,72.96565895260147,19.156573778855915,2023,5,NO2,5.7602103755685496e-05,mol m^-2,1.0,COPERNICUS/S5P/OFFL/L3_NO2,1.9803982973098755,-0.07115840166807175,678.8175659179688,303.5180894790157,0.08585323642441978,1.9816762939783603,177.9421700830637,AOI_GAUL,30.368089479015737,85.85323642441978,0.03590818635934517,-0.9993550931237517
1526000425,72.78599589578403,19.15657377885852,2023,5,CH4,1887.2355746569847,ppb,1.0,COPERNICUS/S5P/OFFL/L3_CH4,2.8496334552764893,-0.47459128499031067,607.4465942382812,302.76033210754395,0.09598916645595779,2.8888834724197126,170.54447848274768,AOI_GAUL,29.610332107543968,95.98916645595779,0.1642819066678359,-0.9864134301303792
